コード,銘柄名
3070,ジェリービーンズグループ
3133,海帆
3137,ファンデリー
3138,富士山マガジンサービス
3140,ＢＲＵＮＯ
3185,夢展望
3187,ミラタップ
3195,ジェネレーションパス
319A,技術承継機構
3224,ゼネラル・オイスター
3237,イントランス
323A,フライヤー
324A,ブッキングリゾート
325A,ＴＥＮＴＩＡＬ
3261,グランディーズ
3286,トラストホールディングス
3300,アンビション　ＤＸ　ホールディングス
330A,ＴａｌｅｎｔＸ
332A,ミーク
334A,ビジュアル・プロセッシング・ジャパン
3359,ｃｏｔｔａ
335A,ミライロ
336A,ダイナミックマッププラットフォーム
338A,ＺｅｎｍｕＴｅｃｈ
339A,プログレス・テクノロジーズ　グループ
340A,ジグザグ
3416,ピクスタ
3418,バルニバービ
341A,トヨコー
3474,Ｇ－ＦＡＣＴＯＲＹ
3477,フォーライフ
3479,ティーケーピー
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ
3496,アズーム
3497,ＬｅＴｅｃｈ
350A,デジタルグリッド
352A,ＬＩＦＥ　ＣＲＥＡＴＥ
3541,農業総合研究所
3542,ベガコーポレーション
3550,スタジオアタオ
3556,リネットジャパングループ
3557,ユナイテッド＆コレクティブ
3558,ジェイドグループ
3566,ユニフォームネクスト
3622,ネットイヤーグループ
3623,ビリングシステム
3624,アクセルマーク
3625,テックファームホールディングス
3628,データホライゾン
3645,メディカルネット
3646,駅探
3652,ディジタルメディアプロフェッショナル
3653,モルフォ
3664,モブキャストホールディングス
3671,ソフトマックス
3674,オークファン
3680,ホットリンク
3690,イルグルム
3691,デジタルプラス
3692,ＦＦＲＩセキュリティ
3695,ＧＭＯリサーチ＆ＡＩ
3698,ＣＲＩ・ミドルウェア
3723,日本ファルコム
3727,アプリックス
3773,アドバンスト・メディア
3777,環境フレンドリーホールディングス
3793,ドリコム
3803,イメージ情報開発
3807,フィスコ
3814,アルファクス・フード・システム
3815,メディア工房
3900,クラウドワークス
3904,カヤック
3905,データセクション
3907,シリコンスタジオ
3908,コラボス
3911,Ａｉｍｉｎｇ
3913,ＧｒｅｅｎＢｅｅ
3914,ＪＩＧ－ＳＡＷ
3917,アイリッジ
3927,フーバーブレイン
3929,ソーシャルワイヤー
3930,はてな
3931,バリューゴルフ
3936,グローバルウェイ
3961,シルバーエッグ・テクノロジー
3967,エルテス
3970,イノベーション
3976,シャノン
3979,うるる
3986,ビーブレイクシステムズ
3987,エコモット
3989,シェアリングテクノロジー
3991,ウォンテッドリー
3998,すららネット
4011,ヘッドウォータース
4013,勤次郎
4014,カラダノート
4015,ペイクラウドホールディングス
4017,クリーマ
4019,スタメン
4020,ビートレンド
4051,ＧＭＯフィナンシャルゲート
4052,フィーチャ
4054,日本情報クリエイト
4055,ティアンドエスグループ
4056,ニューラルグループ
4057,インターファクトリー
4058,トヨクモ
4060,ｒａｋｕｍｏ
4068,ベイシス
4069,ＢｌｕｅＭｅｍｅ
4073,ジィ・シィ企画
4074,ラキール
4075,ブレインズテクノロジー
4076,シイエヌエス
4165,プレイド
4166,かっこ
4167,ココペリ
4168,ヤプリ
4169,ＥＮＥＣＨＡＮＧＥ
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ
4173,ＷＡＣＵＬ
4175,ｃｏｌｙ
4176,ココナラ
4177,ｉ‐ｐｌｕｇ
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ
4179,ジーネクスト
4192,スパイダープラス
4199,ワンダープラネット
4240,クラスターテクノロジー
4255,ＴＨＥＣＯＯ
4256,サインド
4258,網屋
4259,エクサウィザーズ
4260,ハイブリッドテクノロジーズ
4261,アジアクエスト
4262,ニフティライフスタイル
4263,サスメド
4264,セキュア
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ
4267,ライトワークス
4270,ＢｅｅＸ
4308,Ｊストリーム
4316,ビーマップ
4370,モビルス
4371,コアコンセプト・テクノロジー
4372,ユミルリンク
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
4375,セーフィー
4376,くふうカンパニーホールディングス
4377,ワンキャリア
4378,ＣＩＮＣ
4379,Ｐｈｏｔｏｓｙｎｔｈ
4380,Ｍマート
4381,ビープラッツ
4387,ＺＵＵ
4388,エーアイ
4389,プロパティデータバンク
4391,ロジザード
4393,バンク・オブ・イノベーション
4394,エクスモーション
4395,アクリート
4397,チームスピリット
4412,サイエンスアーツ
4414,フレクト
4415,ブロードエンタープライズ
4416,Ｔｒｕｅ　Ｄａｔａ
4417,グローバルセキュリティエキスパート
4418,ＪＤＳＣ
4419,Ｆｉｎａｔｅｘｔホールディングス
4422,ＶＡＬＵＥＮＥＸ
4424,Ａｍａｚｉａ
4425,Ｋｕｄａｎ
4427,ＥｄｕＬａｂ
4428,シノプス
4429,リックソフト
4431,スマレジ
4435,カオナビ
4436,ミンカブ・ジ・インフォノイド
4437,ｇｏｏｄｄａｙｓホールディングス
4438,Ｗｅｌｂｙ
4442,バルテス・ホールディングス
4444,インフォネット
4445,リビン・テクノロジーズ
4447,ピー・ビーシステムズ
4448,ｋｕｂｅｌｌ
4450,パワーソリューションズ
4475,ＨＥＮＮＧＥ
4476,ＡＩ　ＣＲＯＳＳ
4477,ＢＡＳＥ
4478,フリー
4479,マクアケ
4482,ウィルズ
4484,ランサーズ
4486,ユナイトアンドグロウ
4487,スペースマーケット
4488,ＡＩ　ｉｎｓｉｄｅ
4490,ビザスク
4493,サイバーセキュリティクラウド
4495,アイキューブドシステムズ
4496,コマースＯｎｅホールディングス
4498,サイバートラスト
4563,アンジェス
4564,オンコセラピー・サイエンス
4570,免疫生物研究所
4571,ＮＡＮＯ　ＭＲＮＡ
4572,カルナバイオサイエンス
4575,キャンバス
4576,デ・ウエスタン・セラピテクス研究所
4579,ラクオリア創薬
4582,シンバイオ製薬
4583,カイオム・バイオサイエンス
4584,キッズウェル・バイオ
4586,メドレックス
4588,オンコリスバイオファーマ
4591,リボミック
4592,サンバイオ
4593,ヘリオス
4594,ブライトパス・バイオ
4596,窪田製薬ホールディングス
4597,ソレイジア・ファーマ
4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ
4599,ステムリム
4772,ストリームメディアコーポレーション
4811,ドリーム・アーツ
4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ
4840,トライアイズ
4881,ファンペップ
4882,ペルセウスプロテオミクス
4883,モダリス
4884,クリングルファーマ
4888,ステラファーマ
4889,レナサイエンス
4890,坪田ラボ
4891,ティムス
4892,サイフューズ
4893,ノイルイミューン・バイオテック
4894,クオリプス
4896,ケイファーマ
4934,プレミアアンチエイジング
4937,Ｗａｑｏｏ
4978,リプロセル
5025,マーキュリー
5026,トリプルアイズ
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ
5028,セカンドサイトアナリティカ
5029,サークレイス
5031,モイ
5033,ヌーラボ
5034,ｕｎｅｒｒｙ
5035,ＨＯＵＳＥＩ
5038,ｅＷｅＬＬ
5070,ドラフト
5125,ファインズ
5126,ポーターズ
5129,ＦＩＸＥＲ
5131,リンカーズ
5132,ｐｌｕｓｚｅｒｏ
5134,ＰＯＰＥＲ
5136,ｔｒｉｐｌａ
5137,スマートドライブ
5138,Ｒｅｂａｓｅ
5139,オープンワーク
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ
5242,アイズ
5243,ｎｏｔｅ
5244,ｊｉｇ．ｊｐ
5246,ＥＬＥＭＥＮＴＳ
5247,ＢＴＭ
5248,テクノロジーズ
5252,日本ナレッジ
5253,カバー
5254,Ａｒｅｎｔ
5255,モンスターラボ
5256,Ｆｕｓｉｃ
5258,トランザクション・メディア・ネットワークス
5259,ＢＢＤイニシアティブ
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ
5532,リアルゲイト
5570,ジェノバ
5572,Ｒｉｄｇｅ－ｉ
5574,ＡＢＥＪＡ
5575,Ｇｌｏｂｅｅ
5577,アイデミー
5578,ＡＲアドバンストテクノロジ
5580,プロディライト
5582,グリッド
5585,エコナビスタ
5586,Ｌａｂｏｒｏ．ＡＩ
5587,インバウンドプラットフォーム
5588,ファーストアカウンティング
5590,ネットスターズ
5591,ＡＶＩＬＥＮ
5592,くすりの窓口
5595,ＱＰＳ研究所
5596,アウトルックコンサルティング
5597,ブルーイノベーション
5599,Ｓ＆Ｊ
5616,雨風太陽
5618,ナイル
5619,マーソ
5621,ヒューマンテクノロジーズ
5704,ＪＭＣ
5834,ＳＢＩリーシングサービス
5842,インテグラル
5858,ＳＴＧ
5867,エスネットワークス
5870,ナルネットコミュニケーションズ
5884,クラダシ
5888,ＤＡＩＷＡ　ＣＹＣＬＥ
5892,ｙｕｔｏｒｉ
6026,ＧＭＯ　ＴＥＣＨ
6027,弁護士ドットコム
6030,アドベンチャー
6031,ＺＥＴＡ
6033,エクストリーム
6034,ＭＲＴ
6038,イード
6039,日本動物高度医療センター
6040,日本スキー場開発
6045,レントラックス
6046,リンクバル
6049,イトクロ
6069,トレンダーズ
6072,地盤ネットホールディングス
6081,アライドアーキテクツ
6085,アーキテクツ・スタジオ・ジャパン
6086,シンメンテホールディングス
6090,ヒューマン・メタボローム・テクノロジーズ
6094,フリークアウト・ホールディングス
6166,中村超硬
6173,アクアライン
6176,ブランジスタ
6177,ＡｐｐＢａｎｋ
6180,ＧＭＯメディア
6181,タメニー
6182,メタリアル
6190,フェニックスバイオ
6193,バーチャレクス・ホールディングス
6195,ホープ
6198,キャリア
6224,ＪＲＣ
6232,ＡＣＳＬ
6255,エヌ・ピー・シー
6521,オキサイド
6522,アスタリスク
6537,ＷＡＳＨハウス
6545,インターネットインフィニティー
6548,旅工房
6550,Ｕｎｉｐｏｓ
6554,エスユーエス
6557,ＡＩＡＩグループ
6558,クックビズ
6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ
6562,ジーニー
6563,みらいワークス
6568,神戸天然物化学
6573,アジャイルメディア・ネットワーク
6574,コンヴァノ
6577,ベストワンドットコム
6579,ログリー
6580,ライトアップ
6597,ＨＰＣシステムズ
6612,バルミューダ
6613,ＱＤレーザ
6696,トラース・オン・プロダクト
7031,インバウンドテック
7036,イーエムネットジャパン
7039,ブリッジインターナショナル
7041,ＣＲＧホールディングス
7043,アルー
7046,ＴＤＳＥ
7047,ポート
7048,ベルトラ
7049,識学
7050,フロンティアインターナショナル
7061,日本ホスピスホールディングス
7062,フレアス
7063,Ｂｉｒｄｍａｎ
7064,ハウテレビジョン
7066,ピアズ
7067,ブランディングテクノロジー
7068,フィードフォースグループ
7069,サイバー・バズ
7072,インティメート・マージャー
7073,ジェイック
7074,トゥエンティーフォーセブン
7075,ＱＬＳホールディングス
7077,ＡＬｉＮＫインターネット
7078,ＩＮＣＬＵＳＩＶＥ
7079,ＷＤＢココ
7080,スポーツフィールド
7082,ジモティー
7083,ＡＨＣグループ
7084,Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ
7089,フォースタートアップス
7090,リグア
7091,リビングプラットフォーム
7093,アディッシュ
7094,ＮｅｘＴｏｎｅ
7096,ステムセル研究所
7097,さくらさくプラス
7110,クラシコム
7112,キューブ
7114,フーディソン
7119,ハルメクホールディングス
7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ
7138,ＴＯＲＩＣＯ
7140,ペットゴー
7157,ライフネット生命保険
7317,松屋アールアンドディ
7318,セレンディップ・ホールディングス
7320,Ｓｏｌｖｖｙ
7325,アイリックコーポレーション
7326,ＳＢＩインシュアランスグループ
7343,ブロードマインド
7345,アイ・パートナーズフィナンシャル
7351,グッドパッチ
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ
7353,ＫＩＹＯラーニング
7356,Ｒｅｔｔｙ
7359,東京通信グループ
7360,オンデック
7361,ヒューマンクリエイションホールディングス
7362,Ｔ．Ｓ．Ｉ
7363,ベビーカレンダー
7369,メイホーホールディングス
7370,Ｅｎｊｉｎ
7371,Ｚｅｎｋｅｎ
7372,デコルテ・ホールディングス
7373,アイドマ・ホールディングス
7374,コンフィデンス・インターワークス
7375,リファインバースグループ
7376,ＢＣＣ
7378,アシロ
7379,サーキュレーション
7386,ジャパンワランティサポート
7409,ＡｅｒｏＥｄｇｅ
7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
7687,ミクリード
7689,コパ・コーポレーション
7694,いつも
7695,交換できるくん
7707,プレシジョン・システム・サイエンス
7774,ジャパン・ティッシュエンジニアリング
7776,セルシード
7777,スリー・ディー・マトリックス
7779,ＣＹＢＥＲＤＹＮＥ
7792,コラントッテ
7793,イメージ・マジック
7794,イーディーピー
7803,ブシロード
7806,ＭＴＧ
8938,グローム・ホールディングス
9158,シーユーシー
9159,Ｗ　ＴＯＫＹＯ
9162,ブリーチ
9163,ナレルグループ
9164,トライト
9165,クオルテック
9166,ＧＥＮＤＡ
9168,ライズ・コンサルティング・グループ
9204,スカイマーク
9211,エフ・コード
9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ
9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ
9215,ＣａＳｙ
9218,メンタルヘルステクノロジーズ
9219,ギックス
9223,ＡＳＮＯＶＡ
9225,ブリッジコンサルティンググループ
9227,マイクロ波化学
9235,売れるネット広告社グループ
9236,ジャパンＭ＆Ａソリューション
9237,笑美面
9238,バリュークリエーション
9240,デリバリーコンサルティング
9241,フューチャーリンクネットワーク
9242,メディア総研
9244,デジタリフト
9245,リベロ
9246,プロジェクトホールディングス
9250,ＧＲＣＳ
9251,ＡＢ＆Ｃｏｍｐａｎｙ
9252,ラストワンマイル
9253,スローガン
9254,ラバブルマーケティンググループ
9256,サクシード
9258,ＣＳ－Ｃ
9259,タカヨシホールディングス
9270,バリュエンスホールディングス
9271,和心
9272,ブティックス
9326,関通
9330,揚羽
9331,キャスター
9337,トリドリ
9338,ＩＮＦＯＲＩＣＨ
9342,スマサポ
9343,アイビス
9344,アクシスコンサルティング
9345,ビズメイツ
9346,ココルポート
9348,ｉｓｐａｃｅ
9467,アルファポリス
9553,マイクロアド
9554,ＡＶｉＣ
9556,ＩＮＴＬＯＯＰ
9557,エアークローゼット
9558,ジャパニアス
9560,プログリット
9561,グラッドキューブ
9562,ビジネスコーチ
9563,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
9565,ＧＬＯＥ
